MONTH,FII (INR Crore),,,DII (INR Crore),,,NIFTY
,Buy Amount,Sell Amount,Net Amount,Buy Amount,Sell Amount,Net Amount,
"17 Nov, 2025",13339.02,12896.85,442.17,12975.94,11510.08,1465.86,26013.45103.4 (0.4%)
"14 Nov, 2025",12383.76,17351.98,-4968.22,24572.09,16110.62,8461.47,25910.0530.9 (0.12%)
"13 Nov, 2025",14902.63,15286.31,-383.68,16036.19,12944.32,3091.87,25879.153.35 (0.01%)
"12 Nov, 2025",15594.07,17344.1,-1750.03,18311.8,13184.68,5127.12,25875.8180.85 (0.7%)
"11 Nov, 2025",14487.4,15290.62,-803.22,14832.97,12644.5,2188.47,25694.95120.6 (0.47%)
"10 Nov, 2025",9803.52,13918.37,-4114.85,18933.97,13128.71,5805.26,25574.3582.05 (0.32%)
"07 Nov, 2025",18485.25,13903.91,4581.34,19470.01,12795.24,6674.77,25492.3-17.4 (-0.07%)
"06 Nov, 2025",16791.16,20054.37,-3263.21,19418.5,14134.59,5283.91,25509.7-87.95 (-0.34%)
"04 Nov, 2025",13187.05,14254.06,-1067.01,15835.4,14632.5,1202.9,25597.65-165.7 (-0.64%)
"03 Nov, 2025",9628.24,11512.02,-1883.78,15519.96,12003.6,3516.36,25763.3541.25 (0.16%)
,,,,,,,
"31 Oct, 2025",11531.75,18301.09,-6769.34,18633.9,11565.46,7068.44,25722.1-155.75 (-0.6%)
"30 Oct, 2025",9350.07,12427.66,-3077.59,14826.52,12357.18,2469.34,25877.85-176.05 (-0.68%)
"29 Oct, 2025",10190.59,12730.75,-2540.16,19535.44,13842.63,5692.81,26053.9117.7 (0.45%)
"28 Oct, 2025",28174.82,17835.02,10339.8,16103.72,15022.17,1081.55,25936.2-29.85 (-0.11%)
"27 Oct, 2025",11823.35,11878.93,-55.58,14602.2,12110.08,2492.12,25966.05170.9 (0.66%)
"24 Oct, 2025",11768.28,11146.77,621.51,12475.77,12302.64,173.13,25795.15-96.25 (-0.37%)
"23 Oct, 2025",20477.78,21643.72,-1165.94,19247.94,15354.21,3893.73,25891.422.8 (0.09%)
"20 Oct, 2025",11786.33,10995.88,790.45,15690.37,13204.91,2485.46,25843.15133.3 (0.52%)
"17 Oct, 2025",14505.27,14196.29,308.98,16860.39,15333.78,1526.61,25709.85124.55 (0.49%)
"16 Oct, 2025",14739.14,13741.85,997.29,19840.85,15764.65,4076.2,25585.3261.75 (1.03%)
"15 Oct, 2025",14013.54,13944.9,68.64,16214.69,11564.61,4650.08,25323.55178.05 (0.71%)
"14 Oct, 2025",10847.86,12356.39,-1508.53,16384.5,12723.37,3661.13,25145.5-81.85 (-0.32%)
"13 Oct, 2025",8085.41,8325.51,-240.1,14960.78,12627.36,2333.42,25227.35-58 (-0.23%)
"10 Oct, 2025",10236.07,9776.87,459.2,12760.06,11052.23,1707.83,25285.35103.55 (0.41%)
"09 Oct, 2025",10907.48,9599.32,1308.16,12577.04,11712.68,864.36,25181.8135.65 (0.54%)
"08 Oct, 2025",10286.98,10205.7,81.28,11733.48,11403.52,329.96,25046.15-62.15 (-0.25%)
"07 Oct, 2025",11542.97,10102.31,1440.66,15953.11,15500.54,452.57,25108.330.65 (0.12%)
"06 Oct, 2025",10950.18,11263.95,-313.77,16124.47,11088.08,5036.39,25077.65183.4 (0.74%)
"03 Oct, 2025",16898.78,18482.15,-1583.37,14005.39,13515.63,489.76,24894.2557.95 (0.23%)
"01 Oct, 2025",12378.32,13983.52,-1605.2,15383.78,12467.64,2916.14,24836.3225.2 (0.92%)
,,,,,,,
"30 Sep, 2025",18729.97,21057.06,-2327.09,16948.64,11187.01,5761.63,24611.1-23.8 (-0.1%)
"29 Sep, 2025",17421.42,20253.01,-2831.59,40256.98,36411.11,3845.87,24634.9-19.8 (-0.08%)
"26 Sep, 2025",10751.34,16438.92,-5687.58,17766.67,11923.46,5843.21,24654.7-236.15 (-0.95%)
"25 Sep, 2025",15079.55,20074.97,-4995.42,15515.7,10412.69,5103.01,24890.85-166.05 (-0.66%)
"24 Sep, 2025",11089.16,13514.91,-2425.75,12632.38,11420.7,1211.68,25056.9-112.6 (-0.45%)
"23 Sep, 2025",12222.3,15773.49,-3551.19,13525.73,10854.86,2670.87,25169.5-32.85 (-0.13%)
"22 Sep, 2025",9544.69,12454.78,-2910.09,12715.96,10133.33,2582.63,25202.35-124.7 (-0.49%)
"19 Sep, 2025",37090.98,36700.24,390.74,14840.35,12735.13,2105.22,25327.05-96.55 (-0.38%)
"18 Sep, 2025",11838.11,11471.42,366.69,14451.22,11124.66,3326.56,25423.693.35 (0.37%)
"17 Sep, 2025",11509.41,12633.95,-1124.54,13719.48,11425.95,2293.53,25330.2591.15 (0.36%)
"16 Sep, 2025",11942.44,11634.12,308.32,11643.46,10124.73,1518.73,25239.1169.9 (0.68%)
"15 Sep, 2025",8169.16,9437.75,-1268.59,10173.17,8239.84,1933.33,25069.2-44.8 (-0.18%)
"12 Sep, 2025",11094.18,10964.6,129.58,11675.26,10119.24,1556.02,25114108.5 (0.43%)
"11 Sep, 2025",10008.75,13481.12,-3472.37,14831.21,10785.67,4045.54,25005.532.4 (0.13%)
"10 Sep, 2025",12603.53,12719.22,-115.69,16276.75,11272.46,5004.29,24973.1104.5 (0.42%)
