Date,FII_Buy,FII_Sell,FII_Net,DII_Buy,DII_Sell,DII_Net,Nifty_Close,Nifty_Change,Nifty_%Chg
2013-05-07,1545.4,1561.11,-15.71,891.54,786.27,105.27,,,
2013-05-08,2900.52,2867.17,33.35,833.89,1137.02,-303.13,,,
2013-05-09,4293.44,3192.03,1101.41,1158.6,1651.42,-492.82,,,
2013-05-11,2993.35,2830.82,162.53,539.05,1223.01,-683.96,,,
2013-05-12,3925.95,2774.44,1151.51,1138.04,1812.06,-674.02,,,
2013-05-13,1872.3,1628.21,244.09,651.09,1105.91,-454.82,,,
2013-05-14,2276.29,1855.3,420.99,552.49,965.15,-412.66,,,
2013-05-15,4362.4,2715.45,1646.95,1244.05,1991.16,-747.11,,,
2013-05-16,3892.2,2821.88,1070.32,1298.93,1689.35,-390.42,,,
2013-05-17,3140.1,2272.17,867.93,999.2,1715.89,-716.69,,,
2013-05-20,3043.41,2290.04,753.37,1011.53,1775.85,-764.32,,,
2013-05-21,2837.79,2158.35,679.44,686.14,1552.84,-866.7,,,
2013-05-22,2733.2,2193.01,540.19,554.13,1527.28,-973.15,,,
2013-05-23,3783.2,3466.97,316.23,1162.23,1700.98,-538.75,,,
2013-05-24,2337.08,2575.64,-238.56,1080.3,1213.09,-132.79,,,
2013-05-27,2525.75,2119.72,406.03,696.51,1212.9,-516.39,,,
2013-05-28,2851.06,2139.94,711.12,708.9,1216.72,-507.82,,,
2013-05-29,2995.56,2351.75,643.81,620.84,928.96,-308.12,,,
2013-05-30,5826.88,5039.41,787.47,1070.88,1386.74,-315.86,,,
2013-05-31,5403.98,5908.0,-504.02,1444.31,1241.2,203.11,,,
2013-06-02,4047.23,2909.27,1137.96,800.41,2024.48,-1224.07,,,
2013-06-03,3505.68,2981.63,524.05,938.92,1538.91,-599.99,,,
2013-06-05,2402.72,1505.26,897.46,622.05,1162.88,-540.83,,,
2013-06-06,2088.43,2358.9,-270.47,1033.05,734.97,298.08,,,
2013-06-08,3275.31,3062.57,212.74,1217.41,1541.15,-323.74,,,
2013-06-09,3856.12,3055.41,800.71,1204.47,1443.0,-238.53,,,
2013-06-11,2072.48,1800.78,271.7,600.34,1145.54,-545.2,,,
2013-06-12,3111.35,2247.58,863.77,946.59,1690.52,-743.93,,,
2013-06-13,2460.85,3018.91,-558.06,1691.25,977.48,713.77,,,
2013-06-14,3390.93,3696.61,-305.68,1648.51,737.89,910.62,,,
