Date,FII_Buy,FII_Sell,FII_Net,DII_Buy,DII_Sell,DII_Net,Nifty_Close,Nifty_Change,Nifty_%Chg
2020-11-20,11000.78,7140.0,3860.78,2975.8,5844.46,-2868.66,,,
2020-11-23,12442.96,7704.52,4738.44,3909.28,6853.33,-2944.05,,,
2020-11-24,12480.89,7917.71,4563.18,3954.39,6476.5,-2522.11,,,
2020-11-25,6931.7,6907.5,24.2,3724.49,5564.82,-1840.33,,,
2020-11-26,8036.86,6009.55,2027.31,3016.07,6416.17,-3400.1,,,
2020-11-27,74741.85,67028.87,7712.98,4875.77,9844.67,-4968.9,,,
2020-12-02,5071.12,5022.31,48.81,3795.48,3456.29,339.19,,,
2020-12-03,9161.05,12636.34,-3475.29,12340.09,8421.85,3918.24,,,
2020-12-05,6231.71,7893.74,-1662.03,5326.5,5690.5,-364.0,,,
2020-12-06,3579.73,4891.22,-1311.49,5251.66,3306.51,1945.15,,,
2020-12-08,4938.95,4587.8,351.15,3560.3,4499.97,-939.67,,,
2020-12-10,6100.23,5485.06,615.17,1960.27,2989.04,-1028.77,,,
2020-12-11,10143.06,8628.94,1514.12,3810.02,6049.45,-2239.43,,,
2020-12-14,7589.88,5325.5,2264.38,3813.97,5535.08,-1721.11,,,
2020-12-15,8612.92,6128.83,2484.09,3564.69,6231.48,-2666.79,,,
2020-12-16,8209.33,6227.56,1981.77,3748.65,5467.1,-1718.45,,,
2020-12-17,8609.38,6254.13,2355.25,3125.72,5620.08,-2494.36,,,
2020-12-18,14649.69,11928.74,2720.95,4224.56,6649.17,-2424.61,,,
2020-12-21,6595.73,6919.28,-323.55,5948.66,5462.54,486.12,,,
2020-12-22,6616.43,5463.43,1153.0,5205.19,5866.7,-661.51,,,
2020-12-23,5365.66,4829.53,536.13,4040.67,5367.59,-1326.92,,,
2020-12-24,5316.24,4090.55,1225.69,3456.22,5354.14,-1897.92,,,
2020-12-28,3456.27,1867.34,1588.93,2714.07,4100.62,-1386.55,,,
2020-12-29,5426.77,3077.24,2349.53,2386.77,4397.27,-2010.5,,,
2020-12-30,5345.63,3521.11,1824.52,3372.43,3959.86,-587.43,,,
2020-12-31,6855.31,5719.72,1135.59,4209.73,4467.37,-257.64,,,
2021-01-01,1072.54,566.33,506.21,2505.67,2436.27,69.4,,,
2021-01-02,10168.32,8674.09,1494.23,6603.46,6693.92,-90.46,,,
2021-01-03,6674.54,6549.39,125.15,4262.45,4457.33,-194.88,,,
2021-01-04,7279.28,7129.87,149.41,3621.88,3918.72,-296.84,,,
2021-01-06,4507.92,4957.78,-449.86,4363.99,4133.5,230.49,,,
2021-01-07,4395.8,5641.09,-1245.29,4721.48,3840.88,880.6,,,
2021-01-09,9384.32,8717.66,666.66,5498.07,6785.94,-1287.87,,,
2021-01-10,7049.23,6917.84,131.39,6093.82,6706.9,-613.08,,,
2021-01-11,8251.05,8453.18,-202.13,5516.93,5400.92,116.01,,,
2021-01-12,8588.49,11354.33,-2765.84,6651.88,3184.86,3467.02,,,
2021-01-13,10263.57,8384.51,1879.06,5777.2,8147.37,-2370.17,,,
2021-01-14,10175.47,9098.85,1076.62,5772.8,5960.9,-188.1,,,
2021-01-15,7240.81,6269.75,971.06,4914.07,5856.14,-942.07,,,
2021-01-18,7847.77,7197.17,650.6,6371.06,6413.57,-42.51,,,
2021-01-19,6715.91,6458.36,257.55,5146.41,5345.71,-199.3,,,
2021-01-20,7701.29,5412.24,2289.05,5084.73,5949.35,-864.62,,,
2021-01-21,9104.25,7489.59,1614.66,5053.57,6093.05,-1039.48,,,
2021-01-22,8326.77,8962.46,-635.69,4859.95,6150.3,-1290.35,,,
2021-01-25,8423.37,9188.67,-765.3,5090.23,5477.99,-387.76,,,
2021-01-27,11236.79,12925.01,-1688.22,6222.79,6226.17,-3.38,,,
2021-01-28,8493.91,12206.42,-3712.51,6351.07,4614.15,1736.92,,,
2021-01-29,11875.01,17805.67,-5930.66,7582.45,5139.25,2443.2,,,
2021-02-02,13585.57,7404.01,6181.56,7755.23,9790.43,-2035.2,,,
2021-02-03,8978.71,6755.55,2223.16,4315.34,5169.38,-854.04,,,
2021-02-06,11510.79,10589.69,921.1,4657.4,4415.64,241.76,,,
2021-02-07,4860.51,5843.31,-982.8,4922.08,3991.69,930.39,,,
2021-02-08,6550.89,8090.77,-1539.88,6478.18,4972.36,1505.82,,,
2021-02-09,9113.34,8764.82,348.52,6368.33,5986.63,381.7,,,
2021-02-11,7815.53,7570.66,244.87,5771.97,5777.97,-6.0,,,
2021-02-12,9064.65,9974.36,-909.71,5828.03,4455.38,1372.65,,,
2021-02-15,5121.51,3887.36,1234.15,4293.84,5342.39,-1048.55,,,
2021-02-16,6825.94,5681.85,1144.09,4632.12,6191.65,-1559.53,,,
2021-02-17,8499.18,7490.98,1008.2,4441.26,5724.64,-1283.38,,,
2021-02-18,9725.77,8822.7,903.07,5281.7,6499.04,-1217.34,,,
2021-02-19,8611.06,8492.31,118.75,3542.36,4717.34,-1174.98,,,
2021-02-22,9454.13,10347.38,-893.25,4804.05,5723.93,-919.88,,,
2021-02-23,8112.33,9681.37,-1569.04,4918.49,4701.82,216.67,,,
2021-02-24,35295.57,6556.4,28739.17,3573.61,3343.17,230.44,,,
2021-02-25,14123.81,13935.73,188.08,5174.63,5921.2,-746.57,,,
2021-02-26,22163.45,30458.62,-8295.17,7534.99,6035.29,1499.7,,,
2021-03-02,11546.18,9025.26,2520.92,6427.49,6827.23,-399.74,,,
2021-03-03,10944.98,8856.28,2088.7,5414.38,5021.47,392.91,,,
2021-03-05,4273.18,6562.64,-2289.46,4366.26,3813.34,552.92,,,
2021-03-06,7323.5,6244.3,1079.2,4726.0,5004.97,-278.97,,,
2021-03-08,8993.55,6876.95,2116.6,6571.69,6870.23,-298.54,,,
2021-03-09,7492.49,6723.91,768.58,6397.78,5729.18,668.6,,,
2021-03-11,9011.72,9413.2,-401.48,5554.9,5359.34,195.56,,,
2021-03-12,7842.92,11199.09,-3356.17,5896.49,4247.7,1648.79,,,
2021-03-15,6658.82,7760.17,-1101.35,4036.19,4785.9,-749.71,,,
2021-03-16,7819.91,6127.6,1692.31,4518.78,5687.37,-1168.59,,,
2021-03-17,9973.21,7347.39,2625.82,5874.44,6436.59,-562.15,,,
2021-03-18,7994.23,6735.76,1258.47,4692.9,5809.07,-1116.17,,,
2021-03-19,24193.67,22775.24,1418.43,7503.7,6944.08,559.62,,,
2021-03-22,6436.46,7223.44,-786.98,4659.69,4116.99,542.7,,,
2021-03-23,7811.31,7919.55,-108.24,4882.49,5412.18,-529.69,,,
2021-03-24,5577.51,7529.41,-1951.9,5581.34,4968.54,612.8,,,
2021-03-25,6669.49,10053.09,-3383.6,7823.37,5555.68,2267.69,,,
2021-03-26,6317.0,6367.13,-50.13,5876.74,4173.6,1703.14,,,
2021-03-30,10119.5,9350.03,769.47,11262.39,9081.38,2181.01,,,
2021-03-31,7657.89,9343.8,-1685.91,6160.75,4079.23,2081.52,,,
2021-04-01,5331.17,3487.95,1843.22,4575.57,5290.78,-715.21,,,
2021-04-02,11826.54,9889.8,1936.74,6314.21,7082.76,-768.55,,,
2021-04-03,11733.98,11957.09,-223.11,4342.9,5131.09,-788.19,,,
2021-04-05,5849.01,7621.38,-1772.37,4952.6,3965.26,987.34,,,
2021-04-06,7683.55,6184.18,1499.37,3883.29,5058.3,-1175.01,,,
2021-04-08,9850.33,7021.76,2828.57,7888.75,8300.11,-411.36,,,
2021-04-10,14121.78,13261.28,860.5,6837.52,6609.46,228.06,,,
2021-04-11,42.52,370.63,-328.11,55.67,17.42,38.25,,,
2021-04-13,8556.44,9287.25,-730.81,4557.77,4313.97,243.8,,,
2021-04-15,11711.48,10731.78,979.7,4979.59,5506.22,-526.63,,,
2021-04-16,7512.32,7074.81,437.51,5523.58,4866.03,657.55,,,
2021-04-19,6381.91,8015.61,-1633.7,6843.13,4487.57,2355.56,,,
2021-04-20,8722.73,9805.06,-1082.33,5595.0,4271.99,1323.01,,,
2021-04-22,9619.52,10529.08,-909.56,5737.09,4887.11,849.98,,,
2021-04-23,6729.46,8090.22,-1360.76,5151.62,3456.03,1695.59,,,
2021-04-26,7660.72,8772.61,-1111.89,6518.02,5495.45,1022.57,,,
2021-04-27,5527.78,6982.53,-1454.75,6484.69,5021.25,1463.44,,,
2021-04-28,7822.55,7056.53,766.02,6349.17,5912.97,436.2,,,
2021-04-29,6399.32,5589.95,809.37,4222.29,5164.64,-942.35,,,
2021-04-30,7951.05,11416.12,-3465.07,5761.78,4342.47,1419.31,,,
2021-05-01,7039.45,6053.15,986.3,5092.0,5582.03,-490.03,,,
2021-05-02,9402.17,7940.46,1461.71,6202.57,7621.22,-1418.65,,,
2021-05-03,9383.17,11397.33,-2014.16,3633.06,4824.25,-1191.19,,,
2021-05-04,4443.84,5375.5,-931.66,5097.54,5022.06,75.48,,,
2021-05-05,4955.96,6066.46,-1110.5,4255.47,4496.08,-240.61,,,
2021-05-07,3222.8,3561.23,-338.43,4578.52,3932.93,645.59,,,
2021-05-08,8746.6,9466.48,-719.88,8541.88,7809.96,731.92,,,
2021-05-10,8732.1,10647.18,-1915.08,8711.87,6843.64,1868.23,,,
