,ICICI_Close_ret,Nifty_Close_ret,BankNifty_Close_ret,Gold_Close_ret,USD_INR_ret,Bond_10Y_ret,Bond_5Y_ret,US_10Y_ret,US_5Y_ret,FII_Net_chg,DII_Net_chg,CPI_Index_chg,WPI_Index_chg,Trade_Balance_Billion_USD_chg,Repo_Rate_%_chg,CRR_%_chg,Real_GDP_YoY_Growth_%_chg,Net Profit (₹ Cr)_chg,NII (₹ Cr)_chg
2024-06-26,0.016598534989531375,0.006198787876631016,0.005015345682290795,-0.0075394205654809275,0.0017969456767016347,0.002002861899861478,0.0011405761145246288,0.01823760381696191,0.016979115751795656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-27,0.001558638755851582,0.007334080659762657,-0.0011203296027188692,0.010943747042885628,-0.0013174443488856873,0.0004286632915536318,0.0,-0.006508595182583237,-0.008104674922874259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-28,-0.01678064578923243,-0.0014108969297394127,-0.008921313426579956,0.0013756724603899051,-0.0013191822984016184,0.0011422045787769796,0.0005698005852171103,0.012744889942739507,0.006488986282137082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,0.010159885051937398,0.00545557559691747,0.004432082133301923,-4.2898852745440194e-05,0.001319182298401518,0.0007132159206831329,-0.0002848597085207883,0.030834489044959723,0.02531782175297645,0.0,0.0,0.6429683834589667,0.0,-2.0336355048577626,0.0,0.0,-0.8702424430143685,285.333989643081,81.0
2024-07-02,-0.01769077597244272,-0.0007499973340487516,-0.007764739541481991,-0.0019782819678747557,0.0007188211642928024,-0.0005705320365855815,0.00128123015604854,-0.009646787415469734,-0.009959373616622002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-03,0.00919664486849717,0.006719678910168409,0.017503232617334264,0.01571743658704651,-0.00023954964780973796,-0.0011420415231272118,-0.003848625661294338,-0.018428425565992366,-0.01697675145194568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-04,0.02579627526422219,0.0006441994597673961,0.00027213141635999054,0.0,0.0,-0.0004286020495642547,-0.0007143367687142552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-05,0.00032436389647435394,0.0008924945580705119,-0.008383760829631158,0.012088663472560882,-0.00011979634635480946,-0.0007147452237664919,-0.0004288471225755845,-0.019242551423248145,-0.02435719758102395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-08,0.0013368900609137561,-0.0001356303337513403,-0.004463978659639256,-0.01403992502750996,-0.00023963575480113347,-0.000572164226737915,-0.000858246369373834,-0.0007024429749344661,0.0016581715549313578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-09,0.010631063117302351,0.00462112711188291,0.002723951256397956,0.002078403578812869,0.0002396357548010653,0.0,0.0,0.007235446770501833,0.005429079826613214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-10,-0.004053926293283252,-0.004460845993233708,-0.0072452947212723,0.00511374163037859,0.00035934599416450604,-0.0018617978883135014,-0.000858983588965888,-0.004662008442114028,-0.0021209625891822114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-11,-0.0038280563219929096,-0.0003495037195243165,0.0015574901826520202,0.017881513074975274,0.0008379721565349538,0.0008597220761659263,0.0002864098544566961,-0.02053662863637889,-0.027746266591132183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
