Date,ICICI_Close,Nifty_Close,BankNifty_Close,Gold_Close,USD_INR,Bond_10Y,Bond_5Y,US_10Y,US_5Y,FII_Net,DII_Net,CPI_Index,WPI_Index,Trade_Balance_Billion_USD,Repo_Rate_%,CRR_%,Real_GDP_YoY_Growth_%,Net Profit (₹ Cr),NII (₹ Cr),Nifty_RSI_14,BankNifty_RSI_14,ICICI_RSI_14
2024-07-10,1243.199951171875,24324.44921875,52189.30078125,2372.199951171875,83.5,6.976,6.982,4.28000020980835,4.238999843597412,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,69.27564148170597,57.1378628630376,67.91875097197652
2024-07-11,1238.449951171875,24315.94921875,52270.6484375,2415.0,83.57,6.982,6.984,4.192999839782715,4.123000144958496,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,68.89556353943233,57.78405729130367,66.03514566531993
2024-07-12,1232.9000244140625,24502.150390625,52278.8984375,2414.0,83.48,6.986,6.979,4.189000129699707,4.111000061035156,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,72.46009691439224,57.85345497158339,63.808470452905354
2024-07-15,1229.949951171875,24586.69921875,52455.8984375,2422.89990234375,83.55,6.981,6.959,4.229000091552734,4.131999969482422,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,73.92150892767992,59.39566959288456,62.60013577472389
2024-07-16,1239.9000244140625,24613.0,52396.80078125,2462.39990234375,83.6,6.966,6.935,4.166999816894531,4.090000152587891,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,74.37700629930043,58.62433564500109,65.00708635175067
2024-07-17,1239.9000244140625,24613.0,52396.80078125,2454.800048828125,83.55,6.966,6.935,4.145999908447266,4.072000026702881,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,,,
2024-07-18,1250.300048828125,24800.849609375,52620.69921875,2451.800048828125,83.58,6.966,6.92,4.189000129699707,4.105000019073486,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,77.41169033248136,60.70631268914325,67.37080748518167
2024-07-19,1248.6500244140625,24530.900390625,52265.6015625,2395.5,83.7,6.965,6.918,4.238999843597412,4.163000106811523,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,65.42069519875943,55.901913787544544,66.60212862518941
2024-07-22,1241.1500244140625,24509.25,52280.3984375,2392.0,83.65,6.967,6.934,4.260000228881836,4.178999900817871,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,64.5570002828212,56.05797398922265,63.07911476937811
2024-07-23,1226.75,24479.05078125,51778.30078125,2404.60009765625,83.68,6.97,6.922,4.238999843597412,4.150000095367432,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,63.30162174490006,49.63857198838531,56.86011392792534
