,ICICI_Close,Nifty_Close,BankNifty_Close,Gold_Close,USD_INR,Bond_10Y,Bond_5Y,US_10Y,US_5Y,FII_Net,DII_Net,CPI_Index,WPI_Index,Trade_Balance_Billion_USD,Repo_Rate_%,CRR_%,Real_GDP_YoY_Growth_%,Net Profit (₹ Cr),NII (₹ Cr)
2023-04-04,862.4478759765625,17398.05078125,40813.05078125,2022.199951171875,82.33,7.315,7.172,3.336999893188477,3.388000011444092,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-04-05,863.228515625,17557.05078125,40999.1484375,2020.9000244140625,81.89,7.273,7.129,3.2869999408721924,3.3440001010894775,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-04-06,853.8605346679688,17599.150390625,41041.0,2011.9000244140625,81.86,7.219,7.057,3.288000106811523,3.3570001125335693,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-04-07,853.8605346679688,17599.150390625,41041.0,2011.9000244140625,81.85,7.219,7.057,3.288000106811523,3.3570001125335693,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-04-10,847.46875,17624.05078125,40834.6484375,1989.0999755859375,82.01,7.227,7.051,3.4149999618530273,3.5190000534057617,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-04-11,860.5938720703125,17722.30078125,41366.5,2004.800048828125,82.04,7.224,7.06,3.434000015258789,3.549999952316284,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-04-12,868.64453125,17812.400390625,41557.94921875,2010.9000244140625,81.98,7.213,7.043,3.4210000038146973,3.4760000705718994,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-04-13,877.2807006835938,17828.0,42132.55078125,2041.300048828125,81.65,7.229,7.066,3.4519999027252197,3.506999969482422,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-04-14,877.2807006835938,17828.0,42132.55078125,2002.199951171875,81.88,7.229,7.066,3.5220000743865967,3.611000061035156,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-04-17,879.525146484375,17706.849609375,42262.55078125,1994.199951171875,81.98,7.247,7.088,3.5910000801086426,3.693000078201294,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-04-18,875.1825561523438,17660.150390625,42265.19921875,2007.4000244140625,82.08,7.221,7.052,3.572000026702881,3.674999952316284,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-04-19,870.3522338867188,17618.75,42154.0,1995.199951171875,82.18,7.227,7.056,3.6019999980926514,3.7219998836517334,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
